tora_id,lat,long
24764,58.9733,16.2157
24750,59.294,16.3457
24749,58.8638,16.5255
24747,59.2619,16.566
24729,59.3148,16.7959
24720,59.0038,16.6823
24719,59.2078,16.2348
24713,59.2766,16.488
24702,58.8874,16.4858
24700,58.7588,17.2941
24699,59.2213,16.3155
24698,59.1849,16.2858
24693,59.1185,16.3612
24688,59.2983,16.2959
24677,59.4131,16.8851
24324,59.2285,16.2897
24294,59.0319,15.686
23996,58.9644,16.4812
23992,58.8705,16.5194
23991,59.3585,16.8083
23989,58.9627,16.4985
23983,59.1403,16.0619
23979,58.7875,17.2717
23978,59.2998,16.3639
23436,60.439,15.4524
25898,58.2693,15.9324
25897,60.2879,13.0439
25896,59.7176,17.2746
25299,58.7018,15.5414
25298,58.008,15.4803
25297,58.2842,16.7823
25296,58.3445,15.599
25295,58.3855,15.6469
25294,58.4378,16.0807
25293,58.1847,16.7884
25292,58.4506,15.4301
25291,57.9099,15.8334
25290,58.0779,15.7857
25289,58.2963,15.8439
25288,58.2036,15.6517
25287,58.3968,15.5813
25286,58.2505,15.5232
25285,58.4668,15.8604
25284,58.4125,16.3417
25283,58.923,15.9817
25282,58.3324,15.4517
25281,58.091,15.8697
25280,58.3761,15.3618
25279,58.3392,15.2284
25278,58.5829,16.3789
25277,58.3895,15.9336
25276,58.3835,15.8038
25274,58.3549,15.3797
25273,58.6131,15.7867
25272,58.2964,15.6696
25271,58.6414,15.348
25270,58.0852,15.1713
25269,57.9857,15.3797
25268,58.3843,15.6187
25267,58.2047,15.9601
25266,58.3369,14.8741
25265,58.2528,14.6552
25264,58.3209,15.9645
25263,58.8809,16.0058
25262,58.8704,15.969
25261,58.3451,15.5288
25260,58.4089,15.5705
25259,58.5166,15.9298
25258,58.6046,16.5221
25257,58.5327,15.8391
25256,58.417,15.7328
25255,58.4806,16.5067
25254,58.9027,15.7276
25253,58.3849,14.9121
25252,58.2268,14.6277
25251,57.9236,15.7564
25250,58.1467,15.7389
25249,58.6078,15.2609
25248,58.3175,16.1565
25247,58.6073,16.4384
25246,58.4637,15.1089
25245,58.1068,15.8397
25244,58.0391,15.5177
25243,58.4213,15.33
25242,58.6418,16.2496
25241,58.3527,15.5838
25240,58.4915,16.4613
25239,58.7043,15.3399
25238,58.4581,16.7225
25237,58.2513,15.027
25236,58.4143,15.6388
25235,58.4395,15.7918
25234,58.1384,15.7038
25233,58.5259,16.0224
25232,58.3805,15.5594
25231,58.2355,15.144
25230,58.4292,16.7178
25229,58.3244,14.8372
25228,58.4495,14.9188
25227,57.9339,15.8366
25226,58.6754,15.9551
25225,58.1893,15.0442
25224,58.4247,15.6507
25223,58.5178,15.4819
25222,58.5056,15.437
25221,58.3,16.0795
25220,58.3942,16.0579
25219,58.3681,14.9254
25218,58.3771,14.9147
25217,58.4847,15.4429
25216,58.5716,15.3922
25215,58.3604,15.6898
25214,58.3721,15.5
25213,58.4747,16.8419
25212,58.4268,15.5578
25211,58.4451,15.5525
25210,57.9776,15.6009
25209,58.0258,15.8458
25208,58.8738,15.8805
25207,58.6699,16.2597
25206,58.5446,15.9576
25205,58.3732,15.2047
25204,58.8323,15.5128
25203,58.2028,15.0269
25202,58.5108,15.5543
25201,58.5665,16.0602
25200,58.587,16.0809
25199,58.3816,15.688
25198,58.9327,15.9244
25197,57.9074,15.5887
25196,58.2695,15.411
25195,58.3625,15.5221
25194,58.4886,15.5103
25193,58.1341,16.8048
25192,58.9177,16.0165
25191,58.4795,16.3157
25190,58.734,15.5492
25189,58.593,16.1267
25188,58.6623,15.3693
25187,58.6507,15.0588
25186,58.4425,16.4076
25185,58.5209,16.4993
25184,58.7394,14.7384
25183,58.7467,14.7411
25182,58.7545,14.7488
25181,58.7488,14.7936
25180,58.7431,14.789
25179,58.7554,14.7691
25178,58.7648,14.8012
25177,58.7517,14.7767
25176,58.7622,14.8178
25175,58.7282,14.7931
25174,58.7468,14.8021
25173,58.7494,14.7637
25172,58.7401,14.8036
25171,58.7663,14.7646
25170,63.8221,20.2372
25168,65.3481,21.3772
25167,55.9318,12.8281
25166,59.2142,15.5677
25165,58.3798,13.4828
25164,58.5036,15.5371
25163,58.6428,15.8497
25162,59.3249,18.3911
25161,59.5862,16.9235
25160,59.69,16.8293
25159,56.0614,12.7908
25158,59.9841,15.8061
25157,59.7777,16.3761
25156,60.0211,16.0156
25155,58.1855,13.8477
25154,60.193,17.8984
25153,60.4123,17.8793
25152,60.5239,17.6361
25150,57.1896,14.3292
25149,59.0242,15.2771
25148,59.4245,15.1907
25147,59.4527,15.0386
25146,59.7096,16.4831
25145,58.5521,13.8304
25144,59.5843,16.5088
25143,59.3268,15.813
25142,59.0921,14.8265
25141,58.527,15.9607
25140,58.5982,16.7357
25139,59.678,16.3577
25138,59.7255,16.5717
25137,58.3328,12.905
25136,59.5532,18.5578
25135,56.9454,14.301
25134,57.7445,14.9831
25133,57.7022,14.9754
25132,57.2668,14.2496
25131,57.7586,13.8168
25130,57.2433,14.1549
25129,56.0132,14.0456
25128,59.1504,15.3365
25127,59.1674,14.9614
25126,59.2828,15.0364
25125,59.1971,15.6032
25124,58.5331,15.2348
25123,58.2499,15.5106
25122,58.2454,15.6688
25121,57.8834,15.8524
25120,58.3312,15.9318
25119,58.4054,15.7453
25118,58.4125,16.1555
25116,58.3159,15.5416
25115,58.2312,15.4747
25114,58.0455,15.8468
25113,58.6676,16.3809
25112,58.0288,15.781
25111,58.1512,14.8396
25110,58.4179,15.4681
25109,58.3816,15.9677
25108,58.2641,14.829
25107,58.3682,16.3161
25106,58.2435,15.1051
25105,58.0373,15.8121
25104,58.0753,15.2026
25103,58.4383,15.6747
25102,58.2701,15.3137
25101,58.743,15.6287
25100,58.4995,16.0327
25099,58.3648,15.4274
25098,58.388,16.4228
25097,58.5837,16.4263
25096,58.3783,15.4668
25095,58.3347,15.5172
25094,58.4975,16.1363
25093,58.3653,15.9601
25092,58.3413,15.2649
25091,58.6666,15.9855
25090,58.5255,15.4453
25089,58.6491,16.1209
25088,58.3394,16.2562
25087,58.2621,15.6658
25086,58.5426,15.6098
25085,58.5653,16.0855
25084,58.4101,15.1931
25083,58.4499,15.3953
25082,58.4255,16.15
25081,58.3356,15.568
25080,58.4574,16.4686
25079,58.014,15.7154
25078,58.3673,16.6982
25077,58.2734,15.2628
25076,58.2462,15.0395
25075,58.5925,15.8415
25074,57.9113,15.8971
25073,58.4967,15.8697
25072,58.5332,15.8068
25071,58.4317,15.5029
25070,58.3595,16.3902
25069,58.4022,15.3882
25068,58.3556,16.0146
25067,58.3836,15.9518
25066,58.4486,15.6728
25065,58.3438,16.6127
25064,58.5538,16.7866
25063,58.2783,16.1903
25062,58.6235,14.9985
25061,58.6622,16.2088
25060,58.3622,16.1002
25059,58.1401,15.7705
25058,58.4332,15.7257
25057,59.5525,15.7278
25056,59.4779,15.5321
25055,59.4999,16.4167
25054,59.7489,15.6631
25053,59.4903,16.4579
25052,59.4931,15.5115
25051,59.5368,15.7825
25050,59.3878,15.8376
25049,59.5675,16.7849
25048,59.4508,15.6765
25047,59.4326,15.5472
25046,59.4644,15.3809
25045,59.4323,15.4274
25044,59.5468,16.7794
25043,59.8126,16.5892
25042,59.4979,15.4927
25041,59.5691,16.733
25040,59.567,16.8902
25039,59.499,15.1739
25038,59.4589,15.3549
25037,59.3911,15.8501
25036,59.5564,16.6613
25035,59.5657,16.417
25034,59.787,15.3713
25033,59.54,16.7519
25032,59.2976,15.8485
25031,59.4387,15.2469
25030,59.8676,16.2979
25029,59.5004,16.7002
25028,57.9395,12.8535
25027,57.271,13.2273
25026,58.6397,13.9239
25025,57.953,12.4
25024,58.3533,12.3679
25023,58.4553,13.569
25022,58.3163,14.2817
25021,58.1463,13.0439
25020,57.8856,13.651
25019,58.6726,13.5899
25018,58.4428,14.1561
25017,58.619,14.3394
25016,58.4806,13.1191
25015,58.6966,14.0135
25014,58.4638,12.6245
25013,58.2811,13.926
25012,57.9953,12.6494
25011,58.2207,12.3266
25010,58.358,12.9991
25009,58.0998,12.6515
25008,58.4757,13.942
25007,58.3222,12.8163
25006,58.3861,14.3702
25005,58.3381,12.7033
25004,57.9717,13.8012
25003,57.9343,14.093
25002,58.3808,13.516
25001,58.3183,13.4923
25000,58.66,13.1119
24999,57.4982,13.1405
24998,57.6246,13.4561
24997,58.2355,12.1952
24996,58.1233,13.9729
24995,57.6404,13.406
24994,57.8443,13.2641
24993,58.2817,12.6554
24992,57.9859,13.1824
24991,58.6516,13.9719
24990,58.4382,12.6948
24989,58.5929,13.9455
24987,58.635,13.676
24986,58.4278,13.9398
24985,58.4723,12.8146
24984,58.1536,13.0196
24983,58.5181,13.7976
24982,58.1649,13.2816
24981,58.4757,12.9938
24980,57.4573,13.4663
24979,58.1403,12.715
